customer_id,date,deposit_amount,segment
1,2023-12-25,640.1014957129562,high_frequency_regular
1,2024-02-02,911.839602167699,high_frequency_regular
1,2024-02-14,501.58264402893235,high_frequency_regular
1,2024-02-26,765.5511140113098,high_frequency_regular
1,2024-05-22,472.65111102976607,high_frequency_regular
1,2024-10-18,500.549669988139,high_frequency_regular
2,2024-03-28,680.9124970683009,high_frequency_regular
2,2024-05-29,407.3655640449782,high_frequency_regular
3,2024-03-24,808.9374761758723,high_frequency_regular
3,2024-09-21,1405.11072450374,high_frequency_regular
3,2024-09-26,1261.0694810491857,high_frequency_regular
4,2024-04-02,259.7487853046717,high_frequency_regular
5,2024-01-03,601.1885647919,high_frequency_regular
5,2024-03-03,305.68614113578724,high_frequency_regular
5,2024-03-10,251.3421261361925,high_frequency_regular
6,2024-03-25,1185.641387519793,high_frequency_regular
6,2024-05-05,691.9092629310805,high_frequency_regular
7,2024-01-25,159.30881387253348,high_frequency_regular
7,2024-02-08,153.9415419384633,high_frequency_regular
7,2024-02-25,125.72139902528225,high_frequency_regular
7,2024-08-14,213.2266244172147,high_frequency_regular
7,2024-09-17,122.62971738317314,high_frequency_regular
7,2024-11-01,118.89632455706138,high_frequency_regular
8,2024-03-29,580.0840443561435,high_frequency_regular
8,2024-05-27,304.81788671461476,high_frequency_regular
8,2024-11-26,337.5831255967141,high_frequency_regular
9,2024-05-18,335.7761643753835,high_frequency_regular
9,2024-06-18,200.57971976364863,high_frequency_regular
10,2024-01-13,277.6335265008669,high_frequency_regular
10,2024-07-31,191.5086267552628,high_frequency_regular
10,2024-10-18,190.62918367405828,high_frequency_regular
11,2024-01-27,245.3740831894521,high_frequency_regular
11,2024-03-02,190.04777153311605,high_frequency_regular
11,2024-06-05,345.4131661290231,high_frequency_regular
12,2024-01-04,319.88025132698874,high_frequency_regular
12,2024-01-27,306.7693235000428,high_frequency_regular
12,2024-04-23,321.15410284673027,high_frequency_regular
12,2024-05-01,306.2860952476996,high_frequency_regular
12,2024-09-11,408.6059075356034,high_frequency_regular
13,2024-06-29,752.4782122475606,high_frequency_regular
13,2024-09-04,416.19387402500575,high_frequency_regular
13,2024-10-27,735.4904887310105,high_frequency_regular
14,2024-04-25,221.90703173324763,high_frequency_regular
14,2024-10-23,281.36557358907106,high_frequency_regular
15,2024-05-21,164.4620800028792,high_frequency_regular
15,2024-06-15,155.74059654019027,high_frequency_regular
16,2024-03-02,1033.7328527161,high_frequency_regular
16,2024-08-07,559.9897967558283,high_frequency_regular
17,2024-02-25,346.4421638854634,high_frequency_regular
17,2024-06-02,449.2392551593672,high_frequency_regular
17,2024-06-13,483.01817298773165,high_frequency_regular
17,2024-11-12,539.7146405374905,high_frequency_regular
18,2024-01-24,949.5130664459891,high_frequency_regular
18,2024-11-23,438.7833458253956,high_frequency_regular
18,2024-11-29,348.126805229544,high_frequency_regular
19,2023-12-06,361.87290286265034,high_frequency_regular
19,2024-05-05,216.31666819029616,high_frequency_regular
19,2024-06-12,201.9135621873757,high_frequency_regular
19,2024-08-16,228.94634320911064,high_frequency_regular
20,2023-12-27,146.64868809665793,high_frequency_regular
20,2024-10-02,255.6656676398129,high_frequency_regular
21,2024-02-23,855.701330164402,high_frequency_regular
21,2024-04-27,1585.801298974142,high_frequency_regular
21,2024-08-31,644.9008950997492,high_frequency_regular
22,2024-05-07,379.1886934170042,high_frequency_regular
22,2024-06-03,398.36533134329204,high_frequency_regular
22,2024-08-19,272.30562838894764,high_frequency_regular
22,2024-09-13,343.76527641659976,high_frequency_regular
22,2024-11-10,376.46020226706423,high_frequency_regular
23,2023-12-05,382.495811660154,high_frequency_regular
23,2024-02-04,584.3911505778534,high_frequency_regular
23,2024-04-12,424.1051446935898,high_frequency_regular
23,2024-06-12,440.9229226228364,high_frequency_regular
24,2024-06-10,766.4939750054527,high_frequency_regular
24,2024-07-11,692.2122609609329,high_frequency_regular
24,2024-09-03,621.2479651262929,high_frequency_regular
24,2024-09-29,1531.6454380077957,high_frequency_regular
25,2024-04-21,617.2661353406397,high_frequency_regular
25,2024-06-26,1512.6101352619944,high_frequency_regular
25,2024-07-28,704.0274659623059,high_frequency_regular
26,2024-04-04,545.4957046724983,high_frequency_regular
26,2024-05-01,558.3616017532908,high_frequency_regular
26,2024-09-30,476.09040911653426,high_frequency_regular
26,2024-10-28,334.66741932086836,high_frequency_regular
27,2024-03-02,572.4679234037909,high_frequency_regular
27,2024-06-03,963.3893982384944,high_frequency_regular
27,2024-07-03,545.4852436045651,high_frequency_regular
27,2024-10-30,820.3309583180973,high_frequency_regular
27,2024-11-12,1092.2448151823908,high_frequency_regular
28,2023-12-21,188.5747639544821,high_frequency_regular
28,2024-08-23,100.02514368522353,high_frequency_regular
28,2024-11-14,137.66559569721525,high_frequency_regular
29,2024-03-25,237.6182487722689,high_frequency_regular
29,2024-03-29,412.69508151260027,high_frequency_regular
29,2024-06-20,255.80995357194527,high_frequency_regular
29,2024-10-29,234.11192985923822,high_frequency_regular
30,2024-01-26,356.71869536657897,high_frequency_regular
30,2024-02-27,352.5121039545173,high_frequency_regular
30,2024-06-01,379.5946138420862,high_frequency_regular
32,2023-12-02,294.8440043752293,high_frequency_regular
32,2024-01-03,183.21354955245505,high_frequency_regular
32,2024-05-26,230.96596322363564,high_frequency_regular
32,2024-10-08,232.3058717121926,high_frequency_regular
33,2024-01-03,647.7200288137512,high_frequency_regular
33,2024-04-16,378.400891736903,high_frequency_regular
33,2024-07-06,492.39617549989543,high_frequency_regular
33,2024-10-01,437.7525481924465,high_frequency_regular
34,2023-12-23,232.28763570484244,high_frequency_regular
34,2024-05-08,278.59701748099883,high_frequency_regular
34,2024-05-09,243.1745666348939,high_frequency_regular
34,2024-06-02,273.7106577318074,high_frequency_regular
34,2024-08-13,231.91535740348743,high_frequency_regular
35,2024-02-17,174.81045844574317,high_frequency_regular
35,2024-04-07,182.78862111894355,high_frequency_regular
35,2024-05-18,200.11589302643694,high_frequency_regular
35,2024-05-31,145.617827456755,high_frequency_regular
35,2024-07-24,150.15474946864998,high_frequency_regular
35,2024-10-27,169.2151847282233,high_frequency_regular
