customer_id,date,segment,actual_deposit,predicted_deposit,absolute_error,percentage_error
477,2024-11-04,growing_users,3667.945837947731,4036.450804390637,368.50496644290615,10.046630531738987
831,2024-11-27,sporadic_high_value,3777.927008566609,4024.8225350719745,246.89552650536552,6.535211663579511
838,2024-11-22,sporadic_high_value,3275.2328396332205,3530.5687955894828,255.3359559562623,7.7959634767480015
938,2024-11-27,weekend_warriors,2995.5985881331612,3044.95308683513,49.35449870196862,1.6475671639545686
463,2024-11-28,growing_users,2835.181970677644,2956.0753652953713,120.89339461772715,4.264043573500579
863,2024-11-04,weekend_warriors,2768.586845302735,2877.7890464554885,109.20220115275333,3.944329986903931
820,2024-11-06,sporadic_high_value,2707.86587081502,2734.2128641367217,26.346993321701575,0.9729799989602732
453,2024-11-28,growing_users,2913.374504584552,2348.1683307602148,565.2061738243374,19.40039541551957
191,2024-11-06,medium_frequency_stable,2739.7374101171617,2331.838298381444,407.8991117357177,14.888255722225379
296,2024-11-11,medium_frequency_stable,2983.1060997808754,2327.920053717585,655.1860460632906,21.96321633050254
417,2024-11-03,growing_users,2248.2234418068942,2323.1038115270735,74.88036972017926,3.330646248399492
786,2024-11-01,sporadic_high_value,2286.137022768374,2322.9793825950906,36.84235982671635,1.6115551893780395
463,2024-11-25,growing_users,2217.2161998578704,2252.3180885862903,35.10188872841991,1.5831513738114504
836,2024-11-13,sporadic_high_value,2208.6393266601094,2244.0739759506464,35.43464929053698,1.604365586667382
802,2024-11-16,sporadic_high_value,2182.7125949086035,2229.0351631104186,46.3225682018151,2.1222477164362887
181,2024-11-21,medium_frequency_stable,2178.3625428591777,2201.6706707212825,23.30812786210481,1.069983871073732
788,2024-11-05,sporadic_high_value,2168.7252183532755,2191.6776093861986,22.95239103292306,1.0583355991198797
938,2024-11-10,weekend_warriors,2095.684981726206,2139.669609966295,43.98462824008902,2.0988186976393317
845,2024-11-24,sporadic_high_value,2096.862026023684,2131.008548331087,34.14652230740285,1.6284582334754516
181,2024-11-06,medium_frequency_stable,2058.262689864251,2080.050602230085,21.787912365834018,1.0585583887385628
189,2024-11-14,medium_frequency_stable,1820.4029281980752,1867.162497222179,46.75956902410371,2.568638420637383
535,2024-11-26,growing_users,1886.285929589916,1866.5706354850681,19.71529410484777,1.0451911767763615
897,2024-11-03,weekend_warriors,1890.193988193273,1821.9795974784502,68.21439071482291,3.60885661159176
820,2024-11-30,sporadic_high_value,1778.9756070871413,1804.849994067761,25.874386980619647,1.4544542869244759
128,2024-11-27,high_frequency_regular,1832.7511283045544,1792.4335586032646,40.31756970128981,2.1998387603551435
897,2024-11-19,weekend_warriors,1742.141512899051,1788.902387752649,46.760874853598125,2.6841031286709085
838,2024-11-03,sporadic_high_value,1726.4035715569205,1725.6204008566385,0.7831707002819712,0.04536428869732268
